hospitalcode,hospitalname,postcode
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR4 9RW
R1C,SOLENT NHS TRUST,SO19 8BR
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,SY3 8XL
R1E,STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,ST5 1QG
R1F,ISLE OF WIGHT NHS TRUST,PO30 5TG
R1G,TORBAY AND SOUTHERN DEVON HEALTH AND CARE NHS TRUST,TQ2 7TD
R1H,BARTS HEALTH NHS TRUST,E1 1BB
R1J,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,GL3 4AW
R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,HA1 3UJ
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,GU2 7XX
RA3,WESTON AREA HEALTH NHS TRUST,BS23 4TQ
RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,BA21 4AT
RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,BS1 3NU
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,TQ2 7AA
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,BD9 6RJ
RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,SS0 0RY
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NW3 2QG
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HA7 4LP
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,N18 1QX
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,UB8 3NN
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,IG3 8XJ
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,KT2 7QB
RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,TA1 5DA
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,DT1 2JY
RBK,WALSALL HEALTHCARE NHS TRUST,WS2 9PS
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,CH49 5PE
RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,L35 5DR
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,L14 3PE
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,L12 2AP
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,CW1 4QJ
RBV,THE CHRISTIE NHS FOUNDATION TRUST,M20 4BX
RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,EX31 4JB
RC1,BEDFORD HOSPITAL NHS TRUST,MK42 9DJ
RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,LU4 0DZ
RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,YO31 8HE
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,HG2 7SX
RCF,AIREDALE NHS FOUNDATION TRUST,BD20 6TD
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,S10 2TH
