Local Authority,Estimated proportion of people living with cataract,Latitude,Longitude,Estimated indirect cost of sight loss,Estimated indirect cost of sight loss per person,Estimated number of adults with diabetes,Estimated number of people living with cataract,"Estimated number of people living with Drusen, an early stage age-related macular degeneration",Estimated number of people living with late stage age-related macular degeneration,Estimated number of people living with late stage dry age-related macular degeneration,Estimated number of people living with late stage wet age-related macular degeneration,Estimated number of people living with ocular hypertension,Estimated number of people living with severe sight loss (blindness) in 2011,Estimated number of people living with severe sight loss (blindness) in 2020,Estimated number of people living with severe sight loss (blindness) in 2030,Estimated number of people living with sight loss in 2011,Estimated number of people predicted to be living with sight loss in 2020,Estimated number of people predicted to be living with sight loss in 2030,Estimated proportion of adults with diabetes,"Estimated proportion of people living with Drusen, an early stage age-related macular degeneration",Estimated proportion of people living with glaucoma,Estimated proportion of people living with late stage age-related macular degeneration,Estimated proportion of people living with late stage wet age-related macular degeneration,Estimated proportion of people living with ocular hypertension,Estimated proportion people living with late stage dry age-related macular degeneration,"Estimated rate of NHS sight tests for children aged 0-1per 100,000 population","Estimated rate of NHS sight tests for people aged 60 years and over per 100,000 population","Estimated rate of NHS sight tests per 100,000 population",Estimated total number of people living with glaucoma,Number of NHS sight tests in 2012/13,Number of NHS sight tests recorded for people aged 0-15,Number of NHS sight tests recorded for people aged 60 years and over,Number of NHS sight tests recorded for students aged 16-18,Number of older people living with sight loss 85 and over,Number of older people living with sight loss aged 65-74,Number of older people living with sight loss aged 75-84,Number of people registered blind aged 0-4,Number of people registered blind aged 75+,Number of Records,ONS Area Code,Percentage change in number of registered blind or partially sighted people from 2010/1to 2013/14,Percentage of people living with sight loss compared to overall population in 2011,Percentage of people living with sight loss compared to overall population in 2020,Percentage of people living with sight loss compared to overall population in 2030,Proportion of population aged 0-4,Proportion of population aged 18-29,Proportion of population aged 30-49,Proportion of population aged 5-17,Proportion of population aged 50-64,Proportion of population aged 65-74,Proportion of population aged 75-84,Proportion of population aged 85+,"Rate of registration as blind or partially sighted per 100,000 people",Total number of people registered blind,Total number of people registered partially sighted,Total population,Total population aged 0-4,Total population aged 18-29,Total population aged 30-49,Total population aged 5-17,Total population aged 50-64,Total population aged 65-74,Total population aged 75-84,Total population aged 85+
Armagh,0.007633974,54.34875,-6.65161,4170000,70.28,3376,453,1985,415,144,293,1114,170,240,-,1480,1990,-,0.056892484,0.033451298,0.007566566,0.006993596,0.004937647,0.018773172,0.002426694,-,-,"13,843",449,"9,032",-,-,-,387.6569,306.9738,395.1328,-,-,1,95O,,0.0249,0.0306,-,0.0726,0.1616,0.2736,0.1792,0.1712,0.0804,0.0454,0.0161,-,-,-,59340,4309,9587,16233,10631,10158,4771,2696,955
Moyle,0.008973607,55.114938,-6.153784,1383000,81.11,1062,153,669,138,48,98,341,60,70,-,490,610,-,0.062287390,0.039237537,0.008093842,0.008093842,0.005747801,0.02,0.002815249,-,-,"14,215",138,"2,494",-,-,-,137.1619,109.0602,125.9467,-,-,1,95E,,0.0287,0.0342,-,0.0618,0.1449,0.2628,0.1679,0.1914,0.0993,0.052,0.02,-,-,-,17050,1053,2471,4480,2862,3263,1693,887,341
Larne,0.009136109,54.8575,-5.80986,2692000,83.64,2033,294,1283,272,95,192,659,110,140,-,950,1120,-,0.063175886,0.039869484,0.008266004,0.008452455,0.005966439,0.020478558,0.002952144,-,-,"14,625",266,"4,808",-,-,-,268.7028,196.2225,258.2374,-,-,1,95F,,0.0295,0.0349,-,0.0578,0.1409,0.2737,0.1609,0.1963,0.0948,0.0557,0.02,-,-,-,32180,1860,4533,8807,5178,6318,3050,1791,643
Ballymoney,0.007878555,55.07203,-6.51699,2244000,71.88,1821,246,1067,224,78,158,604,90,130,-,790,1040,-,0.058320523,0.034172431,0.007814502,0.007173969,0.005060210,0.019344094,0.002498078,-,-,"15,548",244,"4,844",-,-,-,201.4706,167.198,224.63,-,-,1,95D,,0.0253,0.0311,-,0.0676,0.1549,0.2904,0.1728,0.1653,0.0833,0.0496,0.016,-,-,-,31224,2110,4837,9067,5396,5162,2602,1550,500
Castlereagh,0.010127599,54.57718,-5.88821,5919000,88.03,4225,681,2747,634,220,449,1387,250,300,-,2090,2390,-,0.062832753,0.040852443,0.008313257,0.009428631,0.006677374,0.020626989,0.003271765,-,-,"15,935",559,"11,024",-,-,-,618.6342,387.3194,640.9353,-,-,1,95Y,,0.0311,0.0348,-,0.0602,0.1376,0.2908,0.1575,0.1782,0.0887,0.064,0.023,-,-,-,67242,4051,9255,19552,10589,11981,5965,4305,1544
Carrickfergus,0.008488009,54.726187,-5.810121,3065000,78.37,2398,332,1457,307,107,217,789,130,170,-,1080,1390,-,0.061307972,0.037250089,0.008130081,0.007848852,0.005547886,0.020171805,0.002735593,-,-,"15,955",318,"6,421",-,-,-,295.1805,225.0584,293.9341,-,-,1,95V,,0.0276,0.0334,-,0.0601,0.1438,0.2846,0.1659,0.1858,0.0895,0.0522,0.0182,-,-,-,39114,2350,5625,11131,6488,7267,3501,2040,712
Antrim,0.006719323,54.719534,-6.20725,3451000,64.59,3007,359,1659,326,113,230,1014,140,200,-,1220,1680,-,0.056281351,0.031051134,0.007655162,0.006101670,0.004304859,0.018978813,0.002114996,-,-,"16,035",409,"8,843",-,-,-,298.07,268.3347,304.5624,-,-,1,95T,,0.0228,0.0278,-,0.0744,0.1555,0.2927,0.1772,0.1679,0.0784,0.0403,0.0137,-,-,-,53428,3975,8308,15636,9470,8968,4189,2151,731
Banbridge,0.007447403,54.348729,-6.27048,3370000,69.72,2767,360,1580,328,113,232,930,140,200,-,1190,1620,-,0.057241565,0.032685823,0.007757711,0.006785411,0.004799437,0.019239124,0.002337657,-,-,"16,201",375,"8,048",-,-,-,326.9171,238.8725,312.3868,-,-,1,95Q,,0.0246,0.0309,-,0.0757,0.147,0.2949,0.1758,0.1681,0.077,0.0449,0.0166,-,-,-,48339,3661,7104,14254,8497,8127,3724,2170,802
Strabane,0.007454258,54.827269,-7.463579,2733000,68.6,2279,297,1308,268,93,190,758,110,150,-,970,1270,-,0.057199508,0.032828853,0.007680145,0.006726401,0.004768717,0.019024672,0.002334162,-,-,"18,267",306,"7,955",-,-,-,239.1735,205.4038,262.6689,-,-,1,95J,,0.0243,0.03,-,0.0674,0.1533,0.2874,0.1849,0.1668,0.0797,0.0459,0.0146,-,-,-,39843,2685,6109,11450,7365,6647,3177,1827,583
Cookstown,0.006997541,54.64102,-6.74428,2419000,65.35,2010,259,1131,236,81,167,675,100,130,-,860,1120,-,0.054305244,0.030556831,0.007348769,0.006376138,0.004511928,0.018236836,0.002188420,-,-,"18,870",272,"7,343",-,-,-,232.0612,172.6691,220.3106,-,-,1,95I,,0.0232,0.0273,-,0.0757,0.1756,0.2823,0.1784,0.1594,0.0725,0.0408,0.0152,-,-,-,37013,2802,6501,10448,6604,5900,2684,1510,564
